Name,State/Country,City,Link
Brookwood High School,Alabama,Brookwood,https://thehurricaneherald.com
Chelsea High School,Alabama,Chelsea,http://chelseabuzz.com
Daphne High School,Alabama,Daphne,https://daphneoracle.org
Fairhope High School,Alabama,Fairhope,https://fhspirateer.com
Sparkman High School,Alabama,Harvest,http://crimsoncriernews.com
Homewood High School,Alabama,Homewood,http://thehomewoodtricorne.com
Bob Jones High School,Alabama,Madison,http://bjhspatriotpages.com
Montevallo High School,Alabama,Montevallo,http://MHSSpotlight.com
Springville High School,Alabama,Springville,https://shsroar.com
West Anchorage High School,Alaska,Anchorage,http://eaglescry.org
Igaramkin,Alaska,Anchorage,http://Igaramkin.com
Galena City Schools,Alaska,Galena,https://hawkhighlights.com
Seward High School,Alaska,Seward,http://shstoday.org
La Joya Community High School,Arizona,Avondale,http://lajoyalink.com
Agua Fria High School,Arizona,Avondale,https://theowlfeed.com
West Point High School,Arizona,Avondale,https://wpfirenews.com
Westview High School,Arizona,Avondale,https://whsknightmedia.com
Verrado High School,Arizona,Buckeye,http://vipertimes.com
Arizona College Prep,Arizona,Chandler,http://acpknighttimes.com
Chandler High School,Arizona,Chandler,https://chandlerwolfhowl.com
Perry High School,Arizona,Gilbert,http://phsprecedent.com
Deer Valley High School,Arizona,Glendale,http://skyhawkflight.com
Mountain Ridge High School,Arizona,Glendale,https://mrhsridgereview.org
Independence High School,Arizona,Glendale,https://ipatriotpost.org
Copper Canyon High School,Arizona,Glendale,https://ccaztec.com
Greenway High School,Arizona,Glendale,https://demondispatch.net
Jonesboro High School,Arizona,Jonesboro,http://jhsnews.jonesboroschools.net
Westwood High School,Arizona,Mesa,https://warchantnews.com
Sandra Day O'Connor High School,Arizona,Phoenix,http://TheTalonOHS.com
Horizon Honors,Arizona,Phoenix,http://thehorizonsun.com
Xavier College Preparatory Academy,Arizona,Phoenix,http://news.xcp.org 
Pinnacle High School,Arizona,Phoenix,https://phsblueprint.com
Desert Mountain High School,Arizona,Phoenix,https://dmhsnews.org
Desert Vista High School,Arizona,Phoenix,http://dvhsthundermedia.com
Thunderbird High School,Arizona,Phoenix,https://thunderbirdchallenge.com
Sunnyslope High School,Arizona,Phoenix,https://shsvikingviews.com
Sierra Linda High School,Arizona,Phoenix,http://dawgpoundnews.com
North Canyon High School,Arizona,Phoenix,https://therattle.org
Paradise Valley High School,Arizona,Phoenix,https://pvhspress.org
Brophy College Preparatory,Arizona,Phoenix,https://roundup.brophyprep.org
Combs High School,Arizona,San Tan Valley,http://combscourier.com
Imagine Prep Surprise,Arizona,Surprise,https://chasingthestorm.org
McClintock High School,Arizona,Tempe,http://mhscharger.com
Tolleson Union High School,Arizona,Tolleson,https://wolvertimes.com
Sahuaro High School,Arizona,Tucson,http://shsthepapercut.com
Bryant High School,Arkansas,Bryant,http://prospectiveonline.com
Bryant Junior High,Arkansas,Bryant,https://bjhsmedia.org
Cabot High School,Arkansas,Cabot,https://panthertale.com
Clinton High School,Arkansas,Clinton,http://jacketjournal.com
Conway High School,Arkansas,Conway,https://wampuscatstudentnews.com
El Dorado High School,Arkansas,El Dorado,https://ehshigusher.com
Southside High School,Arkansas,Fort Smith,http://southworldonline.org
Jacksonville High School,Arkansas,Jacksonville,https://thetitanchronicle.net
Little Rock Central High School,Arkansas,Little Rock,http://tigernewspaper.net
Little Rock Christian Academy,Arkansas,Little Rock,https://lrcawarriortimes.com
Buffalo Island Central High School,Arkansas,Monette,http://bichoofprints.org
Rogers Heritage High School,Arkansas,Rogers,http://heritagetalon.org
Rogers High School,Arkansas,Rogers,https://mountiespectrum.com
Sylvan Hills High School,Arkansas,Sherwood,http://jlhsnews.org
Har-Ber High School,Arkansas,Springdale,http://harberherald.com
Beverly Hills High School,California,Beverly Hills,https://beverlyhighlights.com
Saratoga High School,California,20300 Herriman Ave.,https://saratogafalcon.org
Encinal Junior Senior High School,California,Alameda,https://ehshorizon.com
Mark Keppel High School,California,Alhambra,http://theaztecnews.org
Esperanza High School,California,Anaheim,http://ehsaztlan.com
Canyon High School,California,Anaheim,https://chsnews.org
