Name,City,State,Pub. Rating,County,GOP %,Dem %
Billings Central Catholic High School,Billings,Montana,-4.272001872658765,Yellowstone County,0.38323536704540484,0.5895625793089365
CM Russell High School,Great Falls,Montana,-15.511742863607127,Cascade County,0.44029806786050896,0.5313089066918002
Helena High School,Helena,Montana,2.604859711701776,Lewis And Clark County,0.4686062000484379,0.5047529668200533
Park High School - MT,Livingston,Montana,-8.506090255139044,Park County,0.20197350262213634,0.7751863096881038
Hellgate High School,Missoula,Montana,-8.017784286501156,Missoula County,0.5790413312224206,0.3921750261057028
Sentinel High School,Missoula,Montana,-7.8339006886735545,Missoula County,0.5790413312224206,0.3921750261057028
Beverly Hills High School,Beverly Hills,California,-10.116229935509974,Los Angeles County,0.6887373247897642,0.2881539325227185
Encinal Junior Senior High School,Alameda,California,-7.721722605740251,Alameda County,0.7845665901365722,0.18684207698617086
Mark Keppel High School,Alhambra,California,-12.028290295875822,Los Angeles County,0.6887373247897642,0.2881539325227185
Esperanza High School,Anaheim,California,-6.157293079309781,Orange County,0.42069810165339866,0.5660747091243111
Canyon High School,Anaheim,California,-9.772410142846033,Orange County,0.42069810165339866,0.5660747091243111
Anaheim High School,Anaheim,California,-16.984257416796297,Orange County,0.42069810165339866,0.5660747091243111
Gilbert High School,Anaheim,California,-10.311624508291601,Orange County,0.42069810165339866,0.5660747091243111
Loara High School,Anaheim,California,-13.686976778431873,Orange County,0.42069810165339866,0.5660747091243111
Arcadia High School - CA,Arcadia,California,-8.559375165618484,Los Angeles County,0.6887373247897642,0.2881539325227185
Arcata High School,Arcata,California,-6.536920783773759,Humboldt County,0.3024025069637883,0.6633008356545961
Arroyo Grande High School,Arroyo Grande,California,-5.989782967687561,San Luis Obispo County,0.4902761124858627,0.48045443336139526
Menlo School,Atherton,California,-6.912134257955354,San Mateo County,0.713059571133164,0.26553485605295213
Placer High School,Auburn,California,-9.787223487268673,Placer County,0.38888581040965764,0.5894320205818325
Ridgeview High School,Bakersfield,California,-9.948324817106982,Kern County,0.3847938328297128,0.5938756572842561
Bakersfield High School,Bakersfield,California,-11.93408030504541,Kern County,0.3847938328297128,0.5938756572842561
Notre Dame High School,Belmont,California,-7.7963666751464,San Mateo County,0.713059571133164,0.26553485605295213
Carlmont High School,Belmont,California,-11.0436759178173,San Mateo County,0.713059571133164,0.26553485605295213
Bishop Union High School,Bishop,California,-12.489995996796797,Mono County,0.5234899328859061,0.4478340451494814
Palo Verde High School,Blythe,California,-2.97008898375597,Riverside County,0.4879493862351858,0.49214289469087924
Brea Olinda High School,Brea,California,-6.4597762869482835,Orange County,0.42069810165339866,0.5660747091243111
Heritage High School - CA,Brentwood,California,9.71849424729894,Contra Costa County,0.6571427758023327,0.32041211990081336
Buena Park HIgh School,Buena Park,California,2.0182500670960812,Orange County,0.42069810165339866,0.5660747091243111
Burlingame High School,Burlingame,California,-8.591463786806065,San Mateo County,0.713059571133164,0.26553485605295213
Viewpoint School,Calabasas,California,-15.772572150986171,Los Angeles County,0.6887373247897642,0.2881539325227185
Adolfo Camarillo High School,Camarillo,California,-7.308037178846821,Ventura County,0.5155483059419873,0.46254483832076054
Carlsbad High School,Carlsbad,California,-14.15678086446366,San Diego County,0.5153599869001655,0.4643611245173745
Sage Creek High School,Carlsbad,California,-12.463245965638325,San Diego County,0.5153599869001655,0.4643611245173745
Jesuit High School,Carmichael,California,0.0,Sacramento County,0.5696178721430596,0.40631812208508333
Castaic High School,Castaic,California,-13.893476318421042,Los Angeles County,0.6887373247897642,0.2881539325227185
Cerritos High School,Cerritos,California,-3.1396087108337016,Los Angeles County,0.6887373247897642,0.2881539325227185
Pleasant Valley High School,Chico,California,-3.513001063277413,Butte County,0.23803856224708403,0.7303023089740538
Inspire School of Arts & Sciences,Chico,California,-11.594314339364791,Butte County,0.23803856224708403,0.7303023089740538
Don Antonio Lugo High School,Chino,California,-2.072252583357243,San Bernardino County,0.5157177463644366,0.4616732995794558
Ruben S. Ayala High School,Chino Hills,California,-16.51224293264445,San Bernardino County,0.5157177463644366,0.4616732995794558
Bonita Vista High School,Chula Vista,California,-11.786944102779621,San Diego County,0.5153599869001655,0.4643611245173745
The Webb Schools,Claremont,California,-13.218074746346383,Los Angeles County,0.6887373247897642,0.2881539325227185
Colton High School,Colton,California,-11.316244576022022,San Bernardino County,0.5157177463644366,0.4616732995794558
Santiago High School,Corona,California,4.8465545399893015,Riverside County,0.4879493862351858,0.49214289469087924
Culver City High School,Culver City,California,-13.443297586529875,Los Angeles County,0.6887373247897642,0.2881539325227185
Homestead High School,Cupertino,California,-8.188776502387924,Santa Clara County,0.6980843504099152,0.2773044640187762
Cupertino High School,Cupertino,California,-9.749551271725279,Santa Clara County,0.6980843504099152,0.2773044640187762
Monta Vista High School,Cupertino,California,-6.956723366643236,Santa Clara County,0.6980843504099152,0.2773044640187762
Cypress High School,Cypress,California,-10.168914306936516,Orange County,0.42069810165339866,0.5660747091243111
Oxford Academy,Cypress,California,-12.031152744589205,Orange County,0.42069810165339866,0.5660747091243111
San Ramon Valley High School,Danville,California,-14.491376746189438,Contra Costa County,0.6571427758023327,0.32041211990081336
Monte Vista High School,Danville,California,-5.338258142877693,Contra Costa County,0.6571427758023327,0.32041211990081336
Diamond Bar High School,Diamond Bar,California,-9.139872686600876,Los Angeles County,0.6887373247897642,0.2881539325227185
Downey High School,Downey,California,-10.416595151269657,Los Angeles County,0.6887373247897642,0.2881539325227185
Eastside College Preparatory School,East Palo Alto,California,-14.106735979665883,San Mateo County,0.713059571133164,0.26553485605295213
Eleanor Roosevelt High School,Eastvale,California,-9.836927511024104,Riverside County,0.4879493862351858,0.49214289469087924
Arroyo High School,El Monte,California,-9.17605579756357,Los Angeles County,0.6887373247897642,0.2881539325227185
San Dieguito Academy,Encinitas,California,-10.319883720275147,San Diego County,0.5153599869001655,0.4643611245173745
San Pasqual High School,Escondido,California,-8.505165362168912,San Diego County,0.5153599869001655,0.4643611245173745
Classical Academy High School,Escondido,California,6.103054376889716,San Diego County,0.5153599869001655,0.4643611245173745
Armijo High School,Fairfield,California,-9.513017397229966,Solano County,0.6294879659365641,0.349034749034749
Irvington High School,Fremont,California,-6.011811291116846,Alameda County,0.7845665901365722,0.18684207698617086
Bullard High School,Fresno,California,-10.288980756129346,Fresno County,0.47636537138545526,0.5056645436186503
Edison High School - CA,Fresno,California,-10.679294608415546,Fresno County,0.47636537138545526,0.5056645436186503
Fresno Christian High School,Fresno,California,8.118052585305035,Fresno County,0.47636537138545526,0.5056645436186503
Fullerton Union High School,Fullerton,California,-9.457135895969705,Orange County,0.42069810165339866,0.5660747091243111
D. Russell Parks Junior High School,Fullerton,California,-8.19161721472583,Orange County,0.42069810165339866,0.5660747091243111
Rosary High School,Fullerton,California,-5.1184958728126375,Orange County,0.42069810165339866,0.5660747091243111
Sunny Hills High School,Fullerton,California,3.0540501342024857,Orange County,0.42069810165339866,0.5660747091243111
Glendale High School,Glendale,California,-10.556514576317317,Los Angeles County,0.6887373247897642,0.2881539325227185
Hoover High School,Glendale,California,3.5777087639996634,Los Angeles County,0.6887373247897642,0.2881539325227185
Dos Pueblos High School,Goleta,California,-9.8541710711759,Santa Barbara County,0.5723570278915306,0.40133379513612993
Granite Bay High School,Granite Bay,California,-6.70098692779292,Placer County,0.38888581040965764,0.5894320205818325
Nevada Union High School,Grass Valley,California,-4.47213595499958,Nevada County,0.46205935717988594,0.5085536547433903
Bear River High School,Grass Valley,California,-8.779185093679875,Nevada County,0.46205935717988594,0.5085536547433903
Hawthorne Math and Science Academy,Hawthorne,California,-2.8968837539450853,Los Angeles County,0.6887373247897642,0.2881539325227185
Da Vinci Communications High School,Hawthorne,California,-13.615003978454553,Los Angeles County,0.6887373247897642,0.2881539325227185
Mt. Eden High School,Hayward,California,-12.518563992904477,Alameda County,0.7845665901365722,0.18684207698617086
Sultana High,Hesperia,California,-9.873539091609876,San Bernardino County,0.5157177463644366,0.4616732995794558
Hughson High School,Hughson,California,-5.652559470844033,Stanislaus County,0.4916376549227127,0.4842570672608272
Shadow Hills High School,Indio,California,-1.0,Riverside County,0.4879493862351858,0.49214289469087924
Woodbridge High School,Irvine,California,-10.855659046475866,Orange County,0.42069810165339866,0.5660747091243111
Portola High School,Irvine,California,-3.6055512754639887,Orange County,0.42069810165339866,0.5660747091243111
Northwood High School,Irvine,California,-7.866066361276137,Orange County,0.42069810165339866,0.5660747091243111
University High School,Irvine,California,-8.27236718379506,Orange County,0.42069810165339866,0.5660747091243111
Flintridge Preparatory School,La Cañada Flintridge,California,-7.005740503330109,Los Angeles County,0.6887373247897642,0.2881539325227185
La Mirada High School,La Mirada,California,-2.406588179698942,Los Angeles County,0.6887373247897642,0.2881539325227185
Bishop Amat High School,La Puente,California,-16.053452380510972,Los Angeles County,0.6887373247897642,0.2881539325227185
Laguna Beach High School,Laguna Beach,California,-12.494498789467308,Orange County,0.42069810165339866,0.5660747091243111
Aliso Niguel High School,Laguna Niguel,California,-7.902063571982459,Orange County,0.42069810165339866,0.5660747091243111
Quartz Hill High School,Lancaster,California,-4.57582580723762,Los Angeles County,0.6887373247897642,0.2881539325227185
Redwood High School,Larkspur,California,-12.480122971659979,Marin County,0.7397820437926798,0.23514896360010476
Tamalpais High School,Larkspur,California,-13.109443161324588,Marin County,0.7397820437926798,0.23514896360010476
Granada High School,Livermore,California,-9.516854854193662,Alameda County,0.7845665901365722,0.18684207698617086
Lompoc High School,Lompoc,California,-5.367960506561128,Santa Barbara County,0.5723570278915306,0.40133379513612993
Rancho Dominguez Preparatory School,Long Beach,California,-10.714330357049853,Los Angeles County,0.6887373247897642,0.2881539325227185
Woodrow Wilson High School,Long Beach,California,-9.142961773954871,Los Angeles County,0.6887373247897642,0.2881539325227185
Millikan High,Long Beach,California,-6.9125708939320365,Los Angeles County,0.6887373247897642,0.2881539325227185
Los Alamitos High School,Los Alamitos,California,-7.589384032976589,Orange County,0.42069810165339866,0.5660747091243111
Pinewood School,Los Altos Hills,California,-8.57354215012675,Santa Clara County,0.6980843504099152,0.2773044640187762
Marymount High School,Los Angeles,California,-13.356056394918465,Los Angeles County,0.6887373247897642,0.2881539325227185
Venice High School,Los Angeles,California,-8.147801339420756,Los Angeles County,0.6887373247897642,0.2881539325227185
Manual Arts High School,Los Angeles,California,-11.347110781028054,Los Angeles County,0.6887373247897642,0.2881539325227185
Shalhevet High School,Los Angeles,California,4.139519899698515,Los Angeles County,0.6887373247897642,0.2881539325227185
The Archer School for Girls,Los Angeles,California,-8.030269439609562,Los Angeles County,0.6887373247897642,0.2881539325227185
Milken Community School,Los Angeles,California,3.1422000338348255,Los Angeles County,0.6887373247897642,0.2881539325227185
Harvard-Westlake School,Los Angeles,California,-11.178849076119898,Los Angeles County,0.6887373247897642,0.2881539325227185
Girls Academic Leadership Academy,Los Angeles,California,-2.23606797749979,Los Angeles County,0.6887373247897642,0.2881539325227185
Augustus Hawkins High School,Los Angeles,California,-21.783020910791965,Los Angeles County,0.6887373247897642,0.2881539325227185
Oscar De La Hoya Animo Charter High School,Los Angeles,California,-1.1547005383792515,Los Angeles County,0.6887373247897642,0.2881539325227185
Alexander Hamilton Senior High,Los Angeles,California,-10.123388760686808,Los Angeles County,0.6887373247897642,0.2881539325227185
Animo Pat Brown Charter High School,Los Angeles,California,-8.169960885436675,Los Angeles County,0.6887373247897642,0.2881539325227185
Marlborough School,Los Angeles,California,-11.603894050828675,Los Angeles County,0.6887373247897642,0.2881539325227185
East Los Angeles Renaissance Academy,Los Angeles,California,10.274982392096579,Los Angeles County,0.6887373247897642,0.2881539325227185
LACES Magnet,Los Angeles,California,-5.97676054955079,Los Angeles County,0.6887373247897642,0.2881539325227185
Los Banos High School,Los Banos,California,3.25832267687942,Merced County,0.5169971110847283,0.4630772883770628
Maywood C.E.S. Magnet,Maywood,California,-10.40984335663498,Los Angeles County,0.6887373247897642,0.2881539325227185
Santa Rosa Academy,Menifee,California,-10.260218955911993,Riverside County,0.4879493862351858,0.49214289469087924
James C. Enochs High School,Modesto,California,-11.166779147173061,Stanislaus County,0.4916376549227127,0.4842570672608272
Montclair High School,Montclair,California,-8.39866060750165,San Bernardino County,0.5157177463644366,0.4616732995794558
Campolindo High School,Moraga,California,-10.397733269461048,Contra Costa County,0.6571427758023327,0.32041211990081336
Mountain View High School,Mountain View,California,-10.924453497110338,Santa Clara County,0.6980843504099152,0.2773044640187762
Corona del Mar High School,Newport Beach,California,-10.27131929208707,Orange County,0.42069810165339866,0.5660747091243111
Bishop O''Dowd High School,Oakland,California,-13.876515211630212,Alameda County,0.7845665901365722,0.18684207698617086
Mother of Divine Grace School,Ojai,California,19.747548371042587,Ventura County,0.5155483059419873,0.46254483832076054
Channel Islands High School,Oxnard,California,-15.909759726201226,Ventura County,0.5155483059419873,0.46254483832076054
Hueneme High School,Oxnard,California,-9.379143528773474,Ventura County,0.5155483059419873,0.46254483832076054
Rio Mesa High School,Oxnard,California,-1.1547005383792515,Ventura County,0.5155483059419873,0.46254483832076054
Palo Alto High School,Palo Alto,California,-7.701947805587883,Santa Clara County,0.6980843504099152,0.2773044640187762
Palo Alto Senior High School - C Magazine,Palo Alto,California,-2.1213203435596424,Santa Clara County,0.6980843504099152,0.2773044640187762
Henry M. Gunn High School,Palo Alto,California,-6.106758550982674,Santa Clara County,0.6980843504099152,0.2773044640187762
